State,seat_number,pollster_rating_name,start_date,end_date,sample_size,population,partisan,cycle,election_date,stage,ranked_choice_reallocated,party,candidate_name,pct
VA,7,Optimus,2020-10-31,2020-11-02,505,lv,,2020,2020-11-03,general,FALSE,DEM,Abigail A. Spanberger,51.6
VA,7,Optimus,2020-10-31,2020-11-02,505,lv,,2020,2020-11-03,general,FALSE,REP,Nicholas J. Freitas,41.4
NE,2,"University of Nevada, Las Vegas Lee Business School",2020-10-30,2020-11-02,191,lv,,2020,2020-11-03,general,FALSE,DEM,Kara Eastman,45.7
NE,2,"University of Nevada, Las Vegas Lee Business School",2020-10-30,2020-11-02,191,lv,,2020,2020-11-03,general,FALSE,REP,Don Bacon,46.8
NE,2,"University of Nevada, Las Vegas Lee Business School",2020-10-30,2020-11-02,191,lv,,2020,2020-11-03,general,FALSE,LIB,Tyler Schaeffer,5.2
MO,2,Change Research,2020-10-30,2020-11-02,597,lv,,2020,2020-11-03,general,FALSE,DEM,Jill Schupp,46
MO,2,Change Research,2020-10-30,2020-11-02,597,lv,,2020,2020-11-03,general,FALSE,REP,Ann Wagner,46
MO,2,Change Research,2020-10-30,2020-11-02,597,lv,,2020,2020-11-03,general,FALSE,LIB,Martin Schulte,2
NE,2,Change Research,2020-10-29,2020-11-02,547,lv,,2020,2020-11-03,general,FALSE,DEM,Kara Eastman,48
NE,2,Change Research,2020-10-29,2020-11-02,547,lv,,2020,2020-11-03,general,FALSE,REP,Don Bacon,47
NE,2,Change Research,2020-10-29,2020-11-02,547,lv,,2020,2020-11-03,general,FALSE,LIB,Tyler Schaeffer,2
NY,24,Change Research,2020-10-29,2020-11-02,738,lv,,2020,2020-11-03,general,FALSE,DEM,Dana Balter,46
NY,24,Change Research,2020-10-29,2020-11-02,738,lv,,2020,2020-11-03,general,FALSE,REP,John Katko,44
NY,24,Change Research,2020-10-29,2020-11-02,738,lv,,2020,2020-11-03,general,FALSE,OTH,Steve Williams,4
IN,5,Change Research,2020-10-29,2020-11-02,596,lv,,2020,2020-11-03,general,FALSE,DEM,Christina Hale,46
IN,5,Change Research,2020-10-29,2020-11-02,596,lv,,2020,2020-11-03,general,FALSE,REP,Victoria Spartz,46
IN,5,Change Research,2020-10-29,2020-11-02,596,lv,,2020,2020-11-03,general,FALSE,LIB,Kenneth Tucker,5
AR,2,Change Research,2020-10-29,2020-11-02,586,lv,,2020,2020-11-03,general,FALSE,DEM,Joyce Ann Elliott,48
AR,2,Change Research,2020-10-29,2020-11-02,586,lv,,2020,2020-11-03,general,FALSE,REP,French Hill,48
ME,2,Change Research,2020-10-29,2020-11-02,475,lv,,2020,2020-11-03,general,FALSE,DEM,Jared Forrest Golden,53
ME,2,Change Research,2020-10-29,2020-11-02,475,lv,,2020,2020-11-03,general,FALSE,REP,Dale John Crafts,44
IL,3,Victory Research,2020-10-29,2020-11-01,600,lv,,2020,2020-11-03,general,FALSE,DEM,Marie Newman,55.5
IL,3,Victory Research,2020-10-29,2020-11-01,600,lv,,2020,2020-11-03,general,FALSE,REP,Mike Fricilone,32.2
IL,6,Victory Research,2020-10-29,2020-11-01,600,lv,,2020,2020-11-03,general,FALSE,DEM,Sean Casten,54.7
IL,6,Victory Research,2020-10-29,2020-11-01,600,lv,,2020,2020-11-03,general,FALSE,REP,Jeanne M. Ives,40.5
IL,6,Victory Research,2020-10-29,2020-11-01,600,lv,,2020,2020-11-03,general,FALSE,LIB,Bill Redpath,2
IL,17,Victory Research,2020-10-29,2020-11-01,600,lv,,2020,2020-11-03,general,FALSE,DEM,Cheri Bustos,54.3
IL,17,Victory Research,2020-10-29,2020-11-01,600,lv,,2020,2020-11-03,general,FALSE,REP,Esther Joy King,43.7
OK,5,Change Research,2020-10-29,2020-11-01,607,lv,,2020,2020-11-03,general,FALSE,DEM,Kendra Horn,47
OK,5,Change Research,2020-10-29,2020-11-01,607,lv,,2020,2020-11-03,general,FALSE,REP,Stephanie Bice,47
OH,1,Change Research,2020-10-29,2020-11-01,505,lv,,2020,2020-11-03,general,FALSE,DEM,Kate Schroder,45
OH,1,Change Research,2020-10-29,2020-11-01,505,lv,,2020,2020-11-03,general,FALSE,REP,Steve Chabot,47
OH,1,Change Research,2020-10-29,2020-11-01,505,lv,,2020,2020-11-03,general,FALSE,LIB,Kevin David Kahn,3
NE,2,Emerson College,2020-10-29,2020-10-30,806,lv,,2020,2020-11-03,general,FALSE,DEM,Kara Eastman,47.5
NE,2,Emerson College,2020-10-29,2020-10-30,806,lv,,2020,2020-11-03,general,FALSE,REP,Don Bacon,50.5
PR,1,El Nuevo Día/The Research Office,2020-10-27,2020-10-30,1000,rv,,2020,2020-11-03,general,FALSE,NPP,Jenniffer González,44
PR,1,El Nuevo Día/The Research Office,2020-10-27,2020-10-30,1000,rv,,2020,2020-11-03,general,FALSE,PPD,Aníbal Acevedo-Vilá,32
PR,1,El Nuevo Día/The Research Office,2020-10-27,2020-10-30,1000,rv,,2020,2020-11-03,general,FALSE,PRI,Luis Roberto Piñero,7
PR,1,El Nuevo Día/The Research Office,2020-10-27,2020-10-30,1000,rv,,2020,2020-11-03,general,FALSE,IND,Zayira Jordán Conde,9
PR,1,El Nuevo Día/The Research Office,2020-10-27,2020-10-30,1000,rv,,2020,2020-11-03,general,FALSE,IND,Ada Norah Henríquez,4
PR,1,Jorge Benítez,2020-10-23,2020-10-30,1010,lv,,2020,2020-11-03,general,FALSE,NPP,Jenniffer González,43
PR,1,Jorge Benítez,2020-10-23,2020-10-30,1010,lv,,2020,2020-11-03,general,FALSE,PPD,Aníbal Acevedo-Vilá,39
PR,1,Jorge Benítez,2020-10-23,2020-10-30,1010,lv,,2020,2020-11-03,general,FALSE,PRI,Luis Roberto Piñero,7
PR,1,Jorge Benítez,2020-10-23,2020-10-30,1010,lv,,2020,2020-11-03,general,FALSE,IND,Zayira Jordán Conde,4
PR,1,Jorge Benítez,2020-10-23,2020-10-30,1010,lv,,2020,2020-11-03,general,FALSE,IND,Ada Norah Henríquez,3
NC,9,Public Policy Polling,2020-10-28,2020-10-29,750,v,D,2020,2020-11-03,general,FALSE,DEM,Cynthia Lee Wallace,43
NC,9,Public Policy Polling,2020-10-28,2020-10-29,750,v,D,2020,2020-11-03,general,FALSE,REP,Dan Bishop,45
NM,1,Research & Polling Inc.,2020-10-23,2020-10-29,430,lv,,2020,2020-11-03,general,FALSE,DEM,Debra A. Haaland,58
NM,1,Research & Polling Inc.,2020-10-23,2020-10-29,430,lv,,2020,2020-11-03,general,FALSE,REP,Michelle Garcia Holmes,37
NM,2,Research & Polling Inc.,2020-10-23,2020-10-29,403,lv,,2020,2020-11-03,general,FALSE,DEM,Xochitl Torres Small,46
NM,2,Research & Polling Inc.,2020-10-23,2020-10-29,403,lv,,2020,2020-11-03,general,FALSE,REP,Yvette Herrell,48
NM,3,Research & Polling Inc.,2020-10-23,2020-10-29,347,lv,,2020,2020-11-03,general,FALSE,DEM,Teresa Leger Fernandez,58
NM,3,Research & Polling Inc.,2020-10-23,2020-10-29,347,lv,,2020,2020-11-03,general,FALSE,REP,Alexis Martinez Johnson,35
FL,13,St. Pete Polls,2020-10-28,2020-10-28,1280,lv,,2020,2020-11-03,general,FALSE,DEM,Charlie Crist,54.8
FL,13,St. Pete Polls,2020-10-28,2020-10-28,1280,lv,,2020,2020-11-03,general,FALSE,REP,Anna Paulina Luna,38.6
AK,1,Gravis Marketing,2020-10-26,2020-10-28,770,lv,,2020,2020-11-03,general,FALSE,DEM,Alyse S. Galvin,44
AK,1,Gravis Marketing,2020-10-26,2020-10-28,770,lv,,2020,2020-11-03,general,FALSE,REP,Don Young,49
NH,1,University of New Hampshire,2020-10-24,2020-10-28,451,lv,,2020,2020-11-03,general,FALSE,DEM,Chris Pappas,48
NH,1,University of New Hampshire,2020-10-24,2020-10-28,451,lv,,2020,2020-11-03,general,FALSE,REP,Matt Mowers,50
NH,1,University of New Hampshire,2020-10-24,2020-10-28,451,lv,,2020,2020-11-03,general,FALSE,LIB,Zachary Dumont,2
NH,2,University of New Hampshire,2020-10-24,2020-10-28,412,lv,,2020,2020-11-03,general,FALSE,DEM,Ann McLane Kuster,51
NH,2,University of New Hampshire,2020-10-24,2020-10-28,412,lv,,2020,2020-11-03,general,FALSE,REP,Steven Negron,41
NH,2,University of New Hampshire,2020-10-24,2020-10-28,412,lv,,2020,2020-11-03,general,FALSE,LIB,Andrew Olding,7
